,STOCK_CODE,Date,file_name
2294,000951.SZ,20200323,sz000951_20200323
2295,000951.SZ,20200324,sz000951_20200324
2296,000951.SZ,20200325,sz000951_20200325
2297,000951.SZ,20200326,sz000951_20200326
2298,000951.SZ,20200327,sz000951_20200327
2299,000951.SZ,20200330,sz000951_20200330
2300,000951.SZ,20200331,sz000951_20200331
2301,000951.SZ,20200401,sz000951_20200401
2302,000951.SZ,20200402,sz000951_20200402
2303,000951.SZ,20200403,sz000951_20200403
2304,000951.SZ,20200407,sz000951_20200407
2305,000951.SZ,20200408,sz000951_20200408
2306,000951.SZ,20200409,sz000951_20200409
2307,000951.SZ,20200410,sz000951_20200410
2308,000951.SZ,20200413,sz000951_20200413
2309,000951.SZ,20200414,sz000951_20200414
2310,000961.SZ,20200316,sz000961_20200316
2311,000961.SZ,20200317,sz000961_20200317
2312,000961.SZ,20200318,sz000961_20200318
2313,000961.SZ,20200319,sz000961_20200319
2314,000961.SZ,20200320,sz000961_20200320
2315,000961.SZ,20200323,sz000961_20200323
2316,000961.SZ,20200324,sz000961_20200324
2317,000961.SZ,20200325,sz000961_20200325
2318,000961.SZ,20200326,sz000961_20200326
2319,000961.SZ,20200327,sz000961_20200327
